Train Time	Valid Time	Learning Rate	Train Loss	Valid Loss	Train Acc	Valid Acc	
7.634451	1.541739	0.500000	1.917227	110.463989	23.873239	14.778325	
3.466296	1.070721	0.500000	1.641167	39.116756	34.859155	14.778325	
3.664879	1.124171	0.500000	1.394737	10.784227	42.464789	15.270936	
3.492562	1.047735	0.500000	1.353858	7.281902	42.816901	15.763547	
3.396292	1.067665	0.500000	1.323098	7.299357	44.014084	19.211823	
3.281557	1.031157	0.500000	1.269997	11.122119	47.887324	20.689655	
3.385352	1.104499	0.500000	1.202725	5.843708	51.760563	24.137931	
3.189263	0.983680	0.500000	1.250469	6.724066	49.366197	27.093596	
3.213683	1.068298	0.500000	1.271118	2.420401	45.915493	37.931034	
3.341663	0.999727	0.500000	1.201880	2.672911	50.492958	29.064039	
3.347478	0.991698	0.500000	1.176598	2.601616	52.957746	33.497537	
3.230725	1.009772	0.500000	1.136240	4.437789	55.140845	32.019704	
3.247271	1.002779	0.500000	1.181199	9.294025	53.169014	17.241379	
3.422652	1.014666	0.500000	1.302107	10.231516	48.521127	15.270936	
3.465546	1.014489	0.500000	1.137423	7.891659	54.718310	19.211823	
3.278006	1.082664	0.500000	1.099416	2.841362	56.408451	27.093596	
3.359008	0.974350	0.500000	1.055150	1.740678	57.746479	43.349754	
3.148539	1.003886	0.500000	1.074760	1.204463	57.183099	53.201971	
3.217485	1.010497	0.500000	1.053460	1.563641	58.732394	39.901478	
3.371179	1.050370	0.500000	1.030269	3.072086	60.070423	39.408867	
3.208000	0.955177	0.500000	1.093092	1.537471	57.394366	38.916256	
3.183734	1.017636	0.500000	1.078674	1.708564	57.746479	42.364532	
3.152454	1.046772	0.500000	1.060951	2.472881	56.338028	21.182266	
3.572400	1.033250	0.500000	1.050725	1.606983	58.239437	46.798030	
3.267825	1.002719	0.500000	1.048249	1.393468	59.366197	41.379310	
3.375094	1.042322	0.500000	1.010999	1.881013	60.000000	41.871921	
3.302064	1.010943	0.500000	1.040714	1.928756	59.366197	42.364532	
3.414220	1.046814	0.500000	1.013960	2.156496	61.267606	34.975369	
3.215017	1.022283	0.500000	0.982707	1.399074	61.056338	41.379310	
3.253128	0.987288	0.500000	1.019625	1.134367	59.436620	57.142857	
3.219357	1.041410	0.500000	0.998456	1.161509	59.859155	58.620690	
3.327396	1.045169	0.500000	0.984538	0.997007	61.690141	57.635468	
3.336622	1.057373	0.500000	0.985652	1.626078	60.985915	48.768473	
3.374506	1.031822	0.500000	1.016223	1.163911	61.267606	49.753695	
3.154244	0.982799	0.500000	0.961908	1.150298	63.661972	52.216749	
3.288563	1.014050	0.500000	0.987025	1.938209	62.464789	33.497537	
3.191900	0.967443	0.500000	0.951054	1.187364	62.183099	57.635468	
3.217885	0.964550	0.500000	0.944125	2.000352	63.591549	47.783251	
