Train Time	Valid Time	Learning Rate	Train Loss	Valid Loss	Train Acc	Valid Acc	
7.227770	1.494801	0.500000	1.835063	296.295150	30.211268	14.778325	
3.889994	1.201232	0.500000	1.538702	18.327146	38.591549	14.778325	
4.155511	1.122822	0.500000	1.489911	7.230488	39.366197	14.778325	
3.279473	0.945616	0.500000	1.434377	5.735377	42.746479	16.748768	
3.311144	1.014205	0.500000	1.413432	3.837217	43.098592	19.211823	
3.631962	1.116558	0.500000	1.360295	1.751127	43.309859	26.108374	
3.287373	1.129414	0.500000	1.418447	9.703408	42.957746	14.778325	
3.491450	1.004520	0.500000	1.378462	6.123540	42.676056	15.270936	
3.636620	1.060138	0.500000	1.346342	9.218123	44.436620	15.270936	
3.390653	0.997775	0.500000	1.283665	2.248048	47.042254	31.034483	
3.307089	1.003152	0.500000	1.335933	1.926666	45.704225	29.064039	
3.355634	1.054315	0.500000	1.317587	6.218107	45.845070	15.763547	
3.311432	1.124315	0.500000	1.280901	4.012075	49.225352	19.704433	
3.135312	1.024044	0.500000	1.211235	2.750900	53.309859	27.093596	
3.315601	0.999033	0.500000	1.225026	1.769382	50.915493	40.886699	
3.597872	1.037030	0.500000	1.182815	1.523480	52.605634	44.827586	
3.626145	1.087169	0.500000	1.139448	1.645835	55.211268	39.901478	
3.281827	0.987835	0.500000	1.102604	1.104110	55.845070	58.128079	
3.327636	1.052029	0.500000	1.105431	2.286823	56.690141	33.497537	
3.278394	1.005835	0.500000	1.067730	1.179245	58.873239	52.216749	
3.405439	0.989402	0.500000	1.046158	2.208923	61.056338	25.123153	
3.161385	1.066846	0.500000	1.087902	2.478983	57.535211	28.078818	
3.410387	1.075369	0.500000	1.004981	2.008151	62.394366	39.901478	
3.418533	1.024360	0.500000	1.013998	1.936624	60.352113	31.034483	
3.344596	0.994091	0.500000	0.980645	2.844543	61.901408	31.527094	
3.228757	0.996751	0.500000	1.010300	1.275689	61.619718	54.187192	
3.304595	1.087373	0.500000	1.018214	1.769965	58.591549	40.394089	
3.342444	1.009932	0.500000	1.020860	1.261306	59.718310	52.709360	
3.353032	1.009025	0.500000	1.009954	1.370021	60.845070	47.783251	
3.419163	1.017195	0.500000	1.001339	1.073709	61.056338	52.709360	
3.338486	0.987728	0.500000	0.965627	2.053224	63.450704	35.467980	
3.306230	1.091726	0.500000	0.910143	1.032830	66.478873	60.591133	
3.327957	1.023311	0.500000	0.911989	1.696356	66.338028	43.842364	
3.449475	1.003320	0.500000	0.936524	1.218643	65.774648	58.620690	
3.317336	1.018486	0.500000	0.900382	1.039898	66.760563	62.561576	
3.247699	0.982626	0.500000	0.904586	1.035388	64.929577	60.591133	
3.487732	1.025327	0.500000	0.872956	1.212383	66.126761	57.635468	
3.574852	1.128318	0.500000	0.896789	1.901324	65.845070	41.379310	
3.451495	1.122624	0.500000	0.894061	0.936048	67.253521	65.517241	
3.341325	1.065462	0.500000	0.890892	1.256455	66.056338	56.157636	
3.464270	1.066270	0.500000	0.870938	1.037982	67.464789	59.605911	
3.462847	1.079709	0.500000	0.847075	2.605809	69.014085	21.182266	
3.399183	1.022515	0.500000	0.844665	1.497219	67.676056	53.201971	
3.242848	1.022693	0.500000	0.859376	2.151969	67.957746	41.871921	
3.325744	0.983277	0.500000	0.897706	1.147072	66.126761	60.098522	
3.250138	1.023279	0.500000	0.816778	1.069167	69.014085	59.113301	
3.532140	0.999496	0.500000	0.848006	1.532014	68.943662	52.709360	
3.645421	1.024812	0.500000	0.781400	1.133116	71.760563	56.650246	
3.508326	1.000751	0.500000	0.797705	1.058570	70.774648	63.546798	
3.275091	1.026750	0.500000	0.835238	1.568072	69.647887	57.142857	
3.534426	1.005692	0.500000	0.820110	2.503076	69.929577	32.019704	
3.455891	1.030836	0.500000	0.789481	4.152610	72.112676	21.182266	
3.329785	1.106550	0.500000	0.772672	0.855119	70.915493	66.009852	
3.331625	1.080949	0.500000	0.772480	1.219038	72.535211	55.172414	
3.130569	1.005519	0.500000	0.784179	1.393778	71.901408	54.679803	
3.611385	1.105417	0.500000	0.767151	1.477833	72.746479	57.635468	
3.346372	1.053117	0.500000	0.766107	4.414200	72.183099	31.527094	
3.293040	0.962751	0.500000	0.783187	1.554422	70.563380	49.753695	
3.265314	1.048569	0.500000	0.761891	2.223540	72.676056	40.394089	
3.326732	1.038114	0.500000	0.783046	1.544360	71.478873	55.665025	
3.436167	0.967597	0.500000	0.731785	1.762801	73.169014	47.290640	
3.193786	1.027292	0.500000	0.727422	1.529727	73.591549	47.290640	
3.256341	1.057312	0.500000	0.714961	0.839109	74.014085	66.995074	
3.149822	1.011505	0.500000	0.703916	2.128937	75.000000	45.812808	
3.612984	1.048780	0.500000	0.697564	1.653049	73.873239	47.783251	
3.383208	0.954804	0.500000	0.712682	1.161183	73.873239	62.068966	
3.138248	1.086809	0.500000	0.683340	1.088600	74.295775	63.054187	
3.638707	1.035829	0.500000	0.742066	3.424084	73.380282	25.615764	
3.298286	0.989328	0.500000	0.705221	1.309653	74.577465	57.635468	
3.503333	1.093305	0.500000	0.693296	1.315641	74.647887	58.620690	
3.628415	1.027291	0.500000	0.712022	1.347008	73.380282	53.201970	
3.268824	1.093060	0.500000	0.712613	0.811986	73.943662	65.517241	
3.471365	1.082065	0.500000	0.677049	1.653958	75.140845	45.320197	
3.343054	1.019775	0.500000	0.701364	1.314804	74.647887	55.665025	
3.295859	1.037210	0.500000	0.666023	0.811620	75.352113	69.458128	
3.315472	1.082292	0.500000	0.678752	1.258306	76.197183	56.650246	
3.520455	1.177761	0.500000	0.657813	1.105226	75.845070	62.561576	
3.400135	0.979221	0.500000	0.663625	0.973261	74.507042	64.039409	
3.265202	1.005425	0.500000	0.632642	0.863724	76.478873	66.009852	
3.294532	0.944918	0.500000	0.630097	0.808258	76.901408	66.995074	
3.201132	0.972372	0.500000	0.627549	0.984453	77.042254	65.517241	
3.193452	0.979144	0.500000	0.632165	0.841211	77.112676	59.605911	
3.171694	0.972982	0.500000	0.653685	1.173702	75.985915	58.128079	
3.192361	1.016991	0.500000	0.639784	2.390374	76.901408	41.871921	
3.396951	0.994276	0.500000	0.631104	1.222196	76.760563	61.083744	
3.249614	1.036613	0.500000	0.658520	1.510062	76.197183	56.650246	
3.217693	1.077313	0.500000	0.611446	1.439438	77.183099	63.054187	
3.316759	0.992811	0.500000	0.623353	1.003071	76.408451	66.502463	
3.276480	0.974481	0.500000	0.633005	2.042382	76.338028	44.827586	
3.180040	0.960040	0.500000	0.675390	0.823943	75.352113	69.458128	
3.206429	0.965135	0.500000	0.623335	1.157455	78.309859	57.635468	
3.230369	0.985459	0.500000	0.596220	1.003772	78.661972	61.083744	
3.188814	1.012330	0.500000	0.634400	1.494031	77.042254	53.694581	
3.231668	1.012521	0.500000	0.584674	1.625379	78.661972	52.709360	
3.313720	1.089585	0.500000	0.587972	1.511666	78.098592	56.650246	
3.262703	1.005587	0.500000	0.584063	0.984335	78.450704	67.487685	
3.308144	1.140959	0.500000	0.618129	1.480630	76.830986	55.665025	
3.519488	1.074819	0.500000	0.578547	1.212602	79.295775	55.665025	
3.449318	1.241948	0.500000	0.583832	0.640179	78.169014	76.354680	
3.429680	1.003160	0.500000	0.582519	2.319085	79.295775	49.261084	
3.156739	0.967225	0.500000	0.579920	1.580054	78.943662	53.201970	
3.213860	0.977615	0.500000	0.640575	1.763747	76.619718	47.783251	
3.251637	0.997347	0.500000	0.605862	2.884863	78.380282	40.394089	
3.210166	0.981135	0.500000	0.572671	0.664981	80.985915	72.906404	
3.133095	1.015457	0.500000	0.549081	0.621061	80.000000	78.325123	
3.234210	0.987898	0.500000	0.607817	0.790576	78.380282	70.443350	
3.377901	1.051864	0.500000	0.588639	1.096786	78.732394	66.502463	
3.738600	1.152645	0.500000	0.556406	1.085265	80.140845	62.561576	
3.382875	1.158099	0.500000	0.575860	1.335308	79.436620	54.679803	
3.372904	1.004111	0.500000	0.616813	0.859017	77.676056	66.995074	
3.266388	0.992936	0.500000	0.565961	0.976962	79.225352	67.980296	
3.144607	0.968407	0.500000	0.554144	1.088480	78.873239	63.546798	
3.190613	0.996517	0.500000	0.573085	1.383279	79.859155	52.216749	
3.170381	1.008681	0.500000	0.567520	0.644638	77.464789	74.876847	
3.296418	1.016412	0.500000	0.524383	0.558911	80.563380	80.295567	
3.225858	1.087980	0.500000	0.546960	0.951676	80.000000	62.561576	
3.407396	1.049318	0.500000	0.559716	0.964833	80.000000	64.532020	
3.315143	1.113849	0.500000	0.557207	1.021182	79.225352	63.054187	
3.360678	1.052281	0.500000	0.535054	0.953991	80.985915	66.009852	
3.427350	0.972758	0.500000	0.527097	0.917662	80.633803	70.935961	
3.187335	1.072751	0.050000	0.517065	0.562485	81.690141	81.280788	
3.627400	1.058966	0.050000	0.417953	0.576105	85.422535	79.802956	
3.236267	1.031048	0.050000	0.423471	0.507612	84.647887	80.788177	
3.644625	1.038621	0.050000	0.415168	0.512698	84.436620	82.758621	
3.436534	1.130178	0.050000	0.399120	0.514776	85.774648	81.773399	
3.176217	1.019075	0.050000	0.395816	0.511440	85.774648	81.280788	
3.175644	1.000814	0.050000	0.393407	0.515285	86.126761	81.773399	
3.623865	0.982251	0.050000	0.376801	0.495900	86.619718	79.802956	
3.218435	0.959676	0.050000	0.375206	0.524090	87.042254	80.788177	
3.288891	0.975545	0.050000	0.362175	0.510861	85.633803	79.802956	
3.150440	0.993324	0.050000	0.364531	0.479684	87.323944	81.773399	
3.305750	1.047700	0.050000	0.373467	0.503751	86.760563	80.295567	
3.266075	1.009588	0.050000	0.357744	0.493177	87.394366	81.773399	
3.300952	0.992998	0.050000	0.357393	0.475991	87.394366	81.773399	
3.548043	1.053499	0.050000	0.371627	0.506054	86.619718	80.788177	
3.539613	1.069818	0.050000	0.366520	0.513430	86.690141	81.773399	
3.250553	1.007847	0.050000	0.353006	0.484765	87.464789	80.788177	
3.182824	0.955126	0.050000	0.367260	0.524150	86.971831	82.266010	
3.754305	1.054065	0.050000	0.363686	0.503310	87.464789	81.773399	
3.576428	1.026363	0.050000	0.341326	0.477636	87.323944	82.758621	
3.607359	1.028473	0.050000	0.359848	0.446393	87.183099	81.773399	
3.565295	1.002507	0.050000	0.352239	0.443905	87.183099	83.251231	
3.307175	0.995603	0.050000	0.343454	0.422605	88.521127	84.236453	
3.178621	0.996894	0.050000	0.334272	0.469483	87.957746	82.266010	
3.179891	0.956167	0.050000	0.347428	0.512608	87.605634	81.773399	
3.365941	1.022866	0.050000	0.331305	0.534878	87.746479	81.773399	
3.154318	1.035791	0.050000	0.368372	0.441775	85.915493	83.743842	
3.465669	1.089341	0.050000	0.346540	0.447987	87.042254	82.758621	
3.418255	0.992496	0.050000	0.347712	0.422142	87.112676	82.758621	
3.081457	0.973186	0.050000	0.330941	0.464151	88.521127	82.266010	
3.221094	1.084630	0.050000	0.318011	0.447719	88.380282	83.743842	
3.442982	1.065132	0.050000	0.339821	0.449256	87.816901	83.743842	
3.365735	1.035448	0.050000	0.322536	0.472405	88.732394	83.743842	
3.340730	1.024486	0.050000	0.304778	0.480251	89.366197	81.280788	
3.503138	1.093488	0.050000	0.328961	0.445941	89.084507	82.758621	
3.370563	1.022155	0.050000	0.317629	0.507068	87.464789	81.773399	
3.380701	1.039072	0.050000	0.349595	0.481004	87.605634	83.251231	
3.188303	1.059776	0.050000	0.336816	0.492425	86.830986	82.758621	
3.487968	1.052622	0.050000	0.332266	0.475284	87.816901	83.251231	
3.329556	0.990790	0.050000	0.312039	0.461905	88.873239	84.236453	
3.645567	0.995215	0.050000	0.332911	0.451121	88.732394	83.743842	
3.156625	1.064014	0.050000	0.333131	0.444063	87.535211	82.758621	
3.393301	1.030786	0.050000	0.330669	0.429731	88.802817	85.221675	
3.208436	1.026053	0.050000	0.333532	0.435993	87.887324	83.251232	
3.446047	0.976351	0.050000	0.310416	0.429431	88.873239	84.729064	
3.231800	1.009226	0.050000	0.304539	0.486478	89.507042	83.251232	
3.213289	0.980312	0.050000	0.328628	0.454120	88.873239	83.743842	
3.336094	1.102124	0.050000	0.316867	0.475637	88.521127	82.758621	
3.389694	1.031853	0.050000	0.334637	0.432780	88.380282	85.221675	
3.193681	0.975868	0.050000	0.334589	0.452888	88.309859	83.743842	
3.163868	1.046794	0.050000	0.321276	0.498448	88.661972	81.773399	
3.323862	0.992769	0.050000	0.323081	0.544683	87.535211	81.773399	
3.421421	0.997723	0.050000	0.320738	0.431451	87.605634	83.251232	
3.276765	0.984395	0.050000	0.322489	0.423221	89.718310	82.758621	
3.105858	0.948344	0.050000	0.322192	0.470111	88.732394	82.758621	
3.401224	0.966014	0.050000	0.305109	0.460283	88.309859	82.758621	
3.286107	1.080534	0.050000	0.320956	0.441919	87.887324	84.729064	
3.423139	0.998000	0.050000	0.311444	0.421396	89.577465	84.729064	
3.211274	1.116963	0.050000	0.294666	0.451555	89.014085	83.743842	
3.415114	0.979111	0.050000	0.296369	0.457304	90.211268	83.743842	
3.226693	1.006051	0.005000	0.309116	0.452654	89.084507	83.743842	
3.148084	1.005429	0.005000	0.294415	0.453614	89.436620	83.743842	
3.365682	1.017212	0.005000	0.288166	0.447404	89.084507	84.729064	
